音楽記号,正解,ダミー1,ダミー2,ダミー3
tranquillo,静かに,生き生きと,重々しく,荒々しく
sostenuto (sosten.),音を保持して,活気をもって,熱情的に、激情的に,軽く
maestoso,荘重に,軽く,消えるように,気楽に
animato,生き生きと,絶え入りそうに,激しく、苛立って,静かに
con brio,活気をもって,柔和に、柔らかく,愛らしく,だんだん静まって
con moto,動きを付けて,絶え入りそうに,壮大に,荒々しく
marcato (marc.),はっきりと,滑らかに,精神を込めて,気楽に
espressivo (espress.、 espr.),表情豊かに,気まぐれに,だんだん静まって,軽く
dolce,柔和に、柔らかく,力強く,熱情的に、激情的に,静かに
legato,滑らかに,熱情的に、激情的に,愛らしく,気まぐれに
Alla Marcia,行進曲風に,歌うように、表情豊かに,荒々しく,消えるように
energico,力強く,静かに,愛らしく,軽く
cantabile,歌うように、表情豊かに,熱情的に、激情的に,絶え入りそうに,軽く
brillante,華やかに、輝かしく,消えるように,荘重に,はっきりと
